index,name,state,mp,email,code
27,Chidambaram,TN,"Shri M. Chandrakasi","m.chandrakasi@sansad.nic.in, mckasi1969@gmail.com",TN-27
27,Chikkballapur,KA,"Dr. M. Veerappa Moily",vmoily@kar.nic.in,KA-27
1,Chikkodi,KA,"Shri Prakash Babanna Hukkeri",mpchikkodi3290@gmail.com,KA-1
18,Chitradurga,KA,"Shri B.N. Chandrappa",bn.chandrappa@sansad.nic.in,KA-18
42,Chittoor,AP,"Dr. Naramalli Sivaprasad",,AP-42
21,Chittorgarh,RJ,"Shri C. P. Joshi","cpjoshi.mp@sansad.nic.in, cpjoshicor@gmail.com",RJ-21
3,Churu,RJ,"Shri Rahul Kaswan","rahul.kaswan@sansad.nic.in, rahulkaswan2@gmail.com",RJ-3
20,Coimbatore,TN,"Shri Nagarajan P.","nagarajan.p19@sansad.nic.in, apnagarajan62@gmail.com",TN-20
1,Coochbehar,WB,"Smt. Renuka Sinha","renuka.sinha@sansad.nic.in, bangabhawan@gmail.com",WB-1
26,Cuddalore,TN,"Shri A. Arunmozhithevan","a.arunmozhithevan@sansad.nic.in, arun2868@gmail.com",TN-26
14,Cuttack,OR,"Shri Bhartruhari Mahtab",,OR-14
1,"Dadra and Nagar Haveli",DN,"Shri Natubhai Gomanbhai Patel",dnhmp2009@gmail.com,DN-1
19,Dahod,GJ,"Shri Jaswantsinh Sumanbhai Bhabhor",jsmpdhd@gmail.com,GJ-19
17,"Dakshina Kannada",KA,"Shri Nalin Kumar Kateel","nalinkumar.kateel@sansad.nic.in, mpdkannada@gmail.com",KA-17
1,"Daman and Diu",DD,"Shri Lalubhai Babubhai Patel",,DD-1
7,Damoh,MP,"Shri Prahlad Singh Patel",prahladp@sansad.nic.in,MP-7
14,Darbhanga,BI,"Shri Kirti (JHA) Azad","kirti.azad@sansad.nic.in, kirtiazad.office@gmail.com",BI-14
4,Darjeeling,WB,"Shri S.S. Ahluwalia","ssa@sansad.nic.in, tengrg@gmail.com, 2014darjeeling@gmail.com",WB-4
11,Dausa,RJ,"Shri Harish Chandra Meena","meena.harishchandra@sansad.nic.in, hcmeena54@gmail.com",RJ-11
13,Davanagere,KA,"Shri Gowdar Mallikarjunappa Siddeshwara",gmsiddeshwara@gov.in,KA-13
66,Deoria,UP,"Shri Kalraj Mishra","kalraj.mishra@sansad.nic.in, kalraj@kalrajmishra.com",UP-66
21,Dewas,MP,"Shri Manhor Utwal",,MP-21
7,Dhanbad,JH,"Shri Pashupati Nath Singh",pashupati.ns@sansad.nic.in,JH-7
25,Dhar,MP,"Smt. Savitri Thakur","savitri.thakur@sansad.nic.in, smtsavitrithakur@gmail.com",MP-25
10,Dharmapuri,TN,"Dr. Anbumani Ramadoss",dranbu910@gmail.com,TN-10
11,Dharwad,KA,"Shri Pralhad Venkatesh Joshi","joshi.pralhad@sansad.nic.in, pralhadvjoshi@gmail.com",KA-11
29,Dhaurahra,UP,"Smt. Rekha Arun Verma",,UP-29
9,Dhenkanal,OR,"Shri Tathagata Satpathy",tatzaudi@yahoo.com,OR-9
4,Dhubri,AS,"Maulana Badruddin Ajmal","b.ajmal@sansad.nic.in, amarhuzoor@gmail.com",AS-4
2,Dhule,MH,"Dr. Subhash Ramrao Bhamre","sr.bhamre@sansad.nic.in, drsubhashbhamre11@gmail.com, dr.subhash.bhamre@gmail.com",MH-2
21,"Diamond Harbour",WB,"Shri Abhishek Banerjee",abhishekbanerjee.mp@gmail.com,WB-21
13,Dibrugarh,AS,"Shri Rameswar Teli","rameswar.teli@sansad.nic.in, rameswartelimp@gmail.com",AS-13
22,Dindigul,TN,"Shri M. Udhayakumar",m.udhayakumar@sansad.nic.in,TN-22
20,Dindori,MH,"Shri Harishchandra Deoram Chavan",harishchandra.chavan@sansad.nic.in,MH-20
60,Domariyaganj,UP,"Shri Jagdambika Pal","mp.jpal@yahoo.com, jagdambika.pal@sansad.nic.in",UP-60
16,"Dum Dum",WB,"Prof. Saugata Roy",saugatapolitics_roy@yahoo.co.in,WB-16
2,Dumka,JH,"Shri Shibu Soren",shisoren@sansad.nic.in,JH-2
7,Durg,CT,"Shri Tamradhwaj Sahu","tamradhwaj.sahu@sansad.nic.in, loksabhadurg14@gmail.com",CT-7
3,"East Delhi",DL,"Shri Maheish Girri","maheish.girri@sansad.nic.in,",DL-3
27,Eluru,AP,"Shri Venkateswara Rao (Babu) Magantti","mvenkateswara.rao19@sansad.nic.in, maganttibabu@gmail.com",AP-27
12,Ernakulam,KE,"Prof. Kuruppassery Varkey Thomas","thomaskv@sansad.nic.in, prof.kvthomas2014@gmail.com",KE-12
17,Erode,TN,"Shri S. Selvakumarachinnayan","ss.chinnayan@sansad.nic.in, erodempselvakumarachinnayan@gmail.com",TN-17
22,Etah,UP,"Shri Rajveer (Raju Bhaiya) Singh","rajveersingh.mp@sansad.nic.in, mpetarajvirsinghrajubhaiya@gmail.com",UP-22
41,Etawah,UP,"Shri Ashok Kumar Dohrey",ashokkumar.doharey@sansad.nic.in,UP-41
54,Faizabad,UP,"Shri Lallu Singh",lallu.singh@sansad.nic.in,UP-54
10,Faridabad,HA,"Shri Krishan Pal Gurjar",info@krishanpalgurjar.com,HA-10
9,Faridkot,PB,"Prof. Sadhu Singh","singh.sadhu@sansad.nic.in, prof.sadhu.singh@gmail.com",PB-9
40,Farrukhabad,UP,"Shri Mukesh Rajput",mukesh.rajput@sansad.nic.in,UP-40
8,"Fatehgarh Sahib",PB,"Shri Harinder Singh Khalsa","harinders.khalsa@sansad.nic.in, harsinkha@gmail.com",PB-8
49,Fatehpur,UP,"Sadhvi Niranjan Jyoti",niranjan.jyoti@sansad.nic.in,UP-49
19,"Fatehpur Sikri",UP,"Shri Babulal Chaudhary",babulal.mp@sansad.nic.in,UP-19
10,Ferozpur,PB,"Shri Sher Singh Ghubaya",ss.ghubaya@sansad.nic.in,PB-10
20,Firozabad,UP,"Shri Akshay Yadav","akshay.yadav@sansad.nic.in, yadavakshay@yahoo.com",UP-20
12,Gadchiroli-Chimur,MH,"Shri Ashok Mahadeorao Nete","ashok.mahadeorao@sansad.nic.in, ashoknetempgad@gmail.com",MH-12
6,Gandhinagar,GJ,"Shri Lal Krishna Advani",officelka@gmail.com,GJ-6
1,Ganganagar,RJ,"Shri Nihal Chand Chauhan",mos-mopr@nic.in,RJ-1
2,Garhwal,UT,"Maj Gen Bhuwan Chandra AVSM (Retd.) Khanduri","bc.khanduri@nic.in, khanduribc@gmail.com",UT-2
7,Gauhati,AS,"Smt. Bijoya Chakravarty","bijoya.chakravarty@sansad.nic.in, bijoya@nic.in",AS-7
13,"Gautam Buddha Nagar",UP,"Dr. Mahesh Sharma",dr.mahesh@sansad.nic.in,UP-13
38,Gaya,BI,"Shri Hari Manjhi",manjhihari@gmail.com,BI-38
32,Ghatal,WB,"Shri Deepak (Dev) Adhikari","adhikari.deepak@sansad.nic.in,",WB-32
12,Ghaziabad,UP,"Vijay Kumar Singh (Retd.) General (Dr.)","vksingh.mp@sansad.nic.in, veekaysingh@gmail.com",UP-12
75,Ghazipur,UP,"Shri Manoj Kumar Sinha",manojsinha.mp@sansad.nic.in,UP-75
70,Ghosi,UP,"Shri Hari Narayan Rajbhar",harinarayan.rajbhar@sansad.nic.in,UP-70
6,Giridih,JH,"Shri Ravindra Kumar Pandey","rkpandey@sansad.nic.in,",JH-6
3,Godda,JH,"Shri Nishikant Dubey","nishikant.dubey@sansad.nic.in, nishikant.dubey.mp@gmail.com",JH-3
59,Gonda,UP,"Shri Kirti Vardhan Singh",kirtivardhan.singh@sansad.nic.in,UP-59
17,Gopalganj,BI,"Shri Janak Ram","janak.ram@sansad.nic.in, janakchamarbjp73@gmail.com",BI-17
64,Gorakhpur,UP,"Shri Yogi Adityanath","yogi.adityanath@sansad.nic.in, yogiadityanath72@gmail.com",UP-64
5,Gulbarga,KA,"Shri Mallikarjun Kharge","m.kharge@sansad.nic.in, mallikarjunkharge@yahoo.in",KA-5
4,Guna,MP,"Shri Jyotiraditya Madhavrao Scindia",office.scindia@yahoo.com,MP-4
30,Guntur,AP,"Shri Jayadev Galla",jayadev.galla@sansad.nic.in,AP-30
1,Gurdaspur,PB,"Shri Vinod Khanna","vkhanna@sansad.nic.in,",PB-1
9,Gurgaon,HA,"Rao Inderjit Singh","rao.inderjit@sansad.nic.in, mos-planning@gov.in",HA-9
3,Gwalior,MP,"Shri Narendra Singh Tomar",ns.tomar@sansad.nic.in,MP-3
21,Hajipur,BI,"Shri Ram Vilas Paswan",ramvilas.p@sansad.nic.in,BI-21
3,Hamirpur,HP,"Shri Anurag Singh Thakur","hpcapresident@yahoo.com, mphamirpur@gmail.com",HP-3
47,Hamirpur,UP,"Kunwar Pushpendra Singh Chandel","kunwarps.chandel@sansad.nic.in, pushpendra.chandelmahoba@gmail.com",UP-47
31,Hardoi,UP,"Shri Anshul Verma",anshul.verma@sansad.nic.in,UP-31
5,Hardwar,UT,"Dr. Ramesh Pokhriyal Nishank",,UT-5
16,Hassan,KA,"Shri H.D. Devegowda",haradanahalli@yahoo.co.in,KA-16
16,Hathras,UP,"Shri Rajesh Kumar Diwakar","rk.diwaker@sansad.nic.in, rajeshhathras@yahoo.com",UP-16
48,Hatkanangle,MH,"Shri Raju alias Devappa Anna Shetti",raju.shetty@sansad.nic.in,MH-48
10,Haveri,KA,"Shri Shivkumar Chanabasappa Udasi","68southavenue@gmail.com, udasi.channabasappa@sansad.nic.in",KA-10
14,Hazaribagh,JH,"Shri Jayant Sinha","jayant.sinha19@sansad.nic.in, jsinha21@gmail.com",JH-14
37,Hindupur,AP,"Shri Kristappa Nimmala",nimmalakristappa@gmail.com,AP-37
15,Hingoli,MH,"Shri Rajeev Shankarrao Satav",rajeevsatav@gmail.com,MH-15
4,Hisar,HA,"Shri Dushyant Chautala","dushyant.chautala@sansad.nic.in, dchautala@gmail.com",HA-4
28,Hooghly,WB,"Dr. (Smt.) Ratna De(Nag)",ratna.de@sansad.nic.in,WB-28
17,Hoshangabad,MP,"Shri Uday Pratap Singh",udaypratap_narsinghpur@yahoo.com,MP-17
5,Hoshiarpur,PB,"Shri Vijay Sampla","vijay.sampla@sansad.nic.in,",PB-5
25,Howrah,WB,"Shri Prasun Banerjee","prasun.banerjee@sansad.nic.in, prasuntmcsc@gmail.com",WB-25
9,Hyderabad,TG,"Shri Asaduddin Owaisi",asad.owaisi@sansad.nic.in,TG-9
13,Idukki,KE,"Shri (Adv.) Joice George","joice.george@sansad.nic.in, joicegeorgeadv@gmail.com",KE-13
26,Indore,MP,"Sumitra Mahajan (Tai)","speakerloksabha@sansad.nic.in, s_mahajan@nic.in",MP-26
1,"Inner Manipur",MA,"Dr. Thokchom Meinya",meinya@sansad.nic.in,MA-1
13,Jabalpur,MP,"Shri Rakesh Singh","rakesh.singh@sansad.nic.in, mpjbp@yahoo.com",MP-13
22,Jadavpur,WB,"Prof. (Dr.) Sugata Bose","sugata.bose@sansad.nic.in, sugata.bose@nic.in",WB-22
16,Jagatsinghpur,OR,"Dr. Kulamani Samal",kulamani.samal@sansad.nic.in,OR-16
36,Jahanabad,BI,"Dr. Arun Kumar","dr.arunkumar@sansad.nic.in, drarunkumarjahanabad@gmail.com",BI-36
7,Jaipur,RJ,"Shri Ramcharan Bohra",,RJ-7
6,"Jaipur Rural",RJ,"Col. Rajyavardhan Singh Rathore",rajyavardhan.rathore@sansad.nic.in,RJ-6
8,Jajpur,OR,"Smt. Rita Tarai",rita.tarai@sansad.nic.in,OR-8
4,Jalandhar,PB,"Shri Santokh Singh Chaudhary","ss.chaudhary@sansad.nic.in, santokhschaudhary@gmail.com",PB-4
45,Jalaun,UP,"Shri Bhanu Pratap Singh Verma",bhanus@sansad.nic.in,UP-45
3,Jalgaon,MH,"Shri A.T. (Nana) Patil",atnana.patil@sansad.nic.in,MH-3
18,Jalna,MH,"Shri Raosaheb Patil Danve",raosaheb.danve@sansad.nic.in,MH-18
18,Jalore,RJ,"Shri Devji Mansingram Patel","dm.patel@sansad.nic.in, devjimp@gmail.com",RJ-18
3,Jalpaiguri,WB,"Shri Bijoy Chandra Barman","bc.barman@sansad.nic.in, bijoychandrabarman@gmail.com",WB-3
6,Jammu,JK,"Shri Jugal Kishore Sharma",jugal.bjp@gmail.com,JK-6
12,Jamnagar,GJ,"Smt. Poonamben Hematbhai Maadam",poonam.maadam@sansad.nic.in,GJ-12
9,Jamshedpur,JH,"Shri Bidyut Baran Mahato",mpbidyutmahato@gmail.com,JH-9
40,Jamui,BI,"Shri Chirag Paswan",office.chiragpaswan@gmail.com,BI-40
9,Jangipur,WB,"Dr. Abhijit Mukherjee",abhijit.mukherjee@sansad.nic.in,WB-9
3,Janjgir-Champa,CT,"Smt. Kamla Devi Patle",kd.patle@sansad.nic.in,CT-3
73,Jaunpur,UP,"Dr. Krishna Pratap Singh",kpsingh.jnp@gmail.com,UP-73
19,Jaynagar,WB,"Smt. Pratima Mondal","pratima.mondal@sansad.nic.in, pratimamondal66@yahoo.com",WB-19
25,Jhalawar-Baran,RJ,"Shri Dushyant Singh",dushyant@dholpurpalace.com,RJ-25
7,Jhanjharpur,BI,"Shri Birendra Kumar Chaudhary",bkumar.chaudhary@sansad.nic.in,BI-7
46,Jhansi,UP,"Uma Bharati Sushree",uma.bharati@sansad.nic.in,UP-46
